"","year","event","event_id","game_id","start_time","round","draw","sheet","team1","team2","team1_score","team2_score","lsfe_team","ee"
"118","2024","World Championships",251,"7352","2024-03-30 14:00:00",NA,"Draw 1","C","NED (Goesgens)","SWE (Edin)","1","8","SWE (Edin)","0"
"119","2024","World Championships",251,"7353","2024-03-30 14:00:00",NA,"Draw 1","D","SUI (Schwaller)","USA (Shuster)","3","5","SUI (Schwaller)","0"
"120","2024","USports Championships",245,"15312","2024-03-16 12:30:00",NA,"16","B","HUM - M","MOH - M","7","6","MOH - M","0"
"121","2024","USports Championships",245,"15255","2024-03-16 12:30:00",NA,"16","C","DAL - M","REG - M","5","8","DAL - M","0"
"122","2024","USports Championships",245,"15285","2024-03-16 12:30:00",NA,"16","F","NAIT - M","SAIT - M","5","8","NAIT - M","0"
"123","2024","USports Championships",245,"15269","2024-03-16 12:30:00",NA,"16","H","ALB - M","WLU - M","9","7","ALB - M","0"
"124","2024","USports Championships",245,"15354","2024-03-16 07:30:00",NA,"15","A","NAIT - M","MOH - M","3","10","MOH - M","0"
"125","2024","USports Championships",245,"15367","2024-03-16 07:30:00",NA,"15","D","REG - M","ALB - M","7","5","ALB - M","0"
"126","2024","USports Championships",245,"15286","2024-03-16 07:30:00",NA,"15","E","WLU - M","DAL - M","3","8","WLU - M","0"
"127","2024","USports Championships",245,"15274","2024-03-16 07:30:00",NA,"15","G","HUM - M","SAIT - M","10","5","HUM - M","0"
"128","2024","USports Championships",245,"15378","2024-03-15 14:30:00",NA,"13","A","GUE - M","WLU - M","6","5","WLU - M","0"
"129","2024","USports Championships",245,"15337","2024-03-15 14:30:00",NA,"13","B","ALB - M","BRO - M","7","4","ALB - M","1"
"130","2024","USports Championships",245,"15281","2024-03-15 14:30:00",NA,"13","D","SAIT - M","MOH - M","6","4","SAIT - M","0"
"131","2024","USports Championships",245,"15319","2024-03-15 14:30:00",NA,"13","E","RED - M","CON - M","8","6","RED - M","0"
"132","2024","USports Championships",245,"15326","2024-03-15 14:30:00",NA,"13","F","UNB - M","DAL - M","6","7","DAL - M","1"
"133","2024","USports Championships",245,"15303","2024-03-15 14:30:00",NA,"13","G","REG - M","SMU - M","6","5","REG - M","0"
"134","2024","USports Championships",245,"15355","2024-03-15 14:30:00",NA,"13","H","NAIT - M","SAU - M","5","8","SAU - M","0"
"135","2024","USports Championships",245,"15357","2024-03-15 06:30:00",NA,"11","A","SMU - M","BRO - M","10","5","BRO - M","0"
"136","2024","USports Championships",245,"15324","2024-03-15 06:30:00",NA,"11","B","GUE - M","UNB - M","2","10","UNB - M","0"
"137","2024","USports Championships",245,"15310","2024-03-15 06:30:00",NA,"11","C","RED - M","NAIT - M","5","10","RED - M","0"
"138","2024","USports Championships",245,"15376","2024-03-15 06:30:00",NA,"11","D","SAU - M","CON - M","9","2","SAU - M","0"
"139","2024","USports Championships",245,"15366","2024-03-15 06:30:00",NA,"11","E","SAIT - M","HUM - M","4","8","SAIT - M","0"
"140","2024","USports Championships",245,"15314","2024-03-15 06:30:00",NA,"11","F","ALB - M","REG - M","6","3","REG - M","0"
"141","2024","USports Championships",245,"15282","2024-03-15 06:30:00",NA,"11","G","DAL - M","WLU - M","2","9","WLU - M","0"
"142","2024","USports Championships",245,"15347","2024-03-15 06:30:00",NA,"11","H","ACC - M","MOH - M","1","8","MOH - M","0"
"143","2024","USports Championships",245,"15261","2024-03-14 18:30:00",NA,"10","A","CON - M","NAIT - M","4","7","NAIT - M","0"
"144","2024","USports Championships",245,"15290","2024-03-14 18:30:00",NA,"10","B","ACC - M","SAIT - M","3","7","ACC - M","0"
"145","2024","USports Championships",245,"15371","2024-03-14 18:30:00",NA,"10","C","SMU - M","ALB - M","4","8","ALB - M","0"
"146","2024","USports Championships",245,"15320","2024-03-14 18:30:00",NA,"10","D","BRO - M","REG - M","6","8","BRO - M","0"
"147","2024","USports Championships",245,"15276","2024-03-14 18:30:00",NA,"10","E","DAL - M","GUE - M","2","9","GUE - M","0"
"148","2024","USports Championships",245,"15309","2024-03-14 18:30:00",NA,"10","F","SAU - M","RED - M","6","9","SAU - M","0"
"149","2024","USports Championships",245,"15273","2024-03-14 18:30:00",NA,"10","G","MOH - M","HUM - M","8","4","MOH - M","0"
"150","2024","USports Championships",245,"15313","2024-03-14 18:30:00",NA,"10","H","WLU - M","UNB - M","9","6","WLU - M","0"
"151","2024","USports Championships",245,"15259","2024-03-14 10:30:00",NA,"8","A","REG - M","DAL - M","4","8","DAL - M","0"
"152","2024","USports Championships",245,"15288","2024-03-14 10:30:00",NA,"8","B","HUM - M","SAU - M","9","4","SAU - M","0"
"153","2024","USports Championships",245,"15263","2024-03-14 10:30:00",NA,"8","C","MOH - M","CON - M","10","3","MOH - M","0"
"154","2024","USports Championships",245,"15264","2024-03-14 10:30:00",NA,"8","D","WLU - M","ALB - M","4","6","ALB - M","0"
"155","2024","USports Championships",245,"15369","2024-03-14 10:30:00",NA,"8","E","UNB - M","SMU - M","10","9","UNB - M","0"
"156","2024","USports Championships",245,"15275","2024-03-14 10:30:00",NA,"8","F","BRO - M","GUE - M","7","6","GUE - M","1"
"157","2024","USports Championships",245,"15311","2024-03-14 10:30:00",NA,"8","G","NAIT - M","ACC - M","9","2","NAIT - M","0"
"158","2024","USports Championships",245,"15299","2024-03-14 10:30:00",NA,"8","H","RED - M","SAIT - M","3","5","SAIT - M","0"
"159","2024","USports Championships",245,"15287","2024-03-13 18:30:00",NA,"6","A","ALB - M","UNB - M","12","1","ALB - M","0"
"160","2024","USports Championships",245,"15298","2024-03-13 18:30:00",NA,"6","B","RED - M","MOH - M","3","9","RED - M","0"
"161","2024","USports Championships",245,"15365","2024-03-13 18:30:00",NA,"6","C","DAL - M","BRO - M","11","5","BRO - M","0"
"162","2024","USports Championships",245,"15268","2024-03-13 18:30:00",NA,"6","D","NAIT - M","HUM - M","6","8","HUM - M","0"
"163","2024","USports Championships",245,"15338","2024-03-13 18:30:00",NA,"6","E","ACC - M","SAU - M","2","13","ACC - M","0"
"164","2024","USports Championships",245,"15359","2024-03-13 18:30:00",NA,"6","F","SMU - M","WLU - M","5","10","WLU - M","0"
"165","2024","USports Championships",245,"15353","2024-03-13 18:30:00",NA,"6","G","SAIT - M","CON - M","8","6","SAIT - M","0"
"166","2024","USports Championships",245,"15331","2024-03-13 18:30:00",NA,"6","H","GUE - M","REG - M","5","8","REG - M","0"
"167","2024","USports Championships",245,"15278","2024-03-13 10:30:00",NA,"4","A","SAU - M","MOH - M","5","8","SAU - M","0"
"168","2024","USports Championships",245,"15301","2024-03-13 10:30:00",NA,"4","B","SMU - M","DAL - M","3","10","DAL - M","0"
"169","2024","USports Championships",245,"15256","2024-03-13 10:30:00",NA,"4","C","UNB - M","REG - M","2","9","REG - M","0"
"170","2024","USports Championships",245,"15270","2024-03-13 10:30:00",NA,"4","D","ACC - M","RED - M","4","9","RED - M","0"
"171","2024","USports Championships",245,"15307","2024-03-13 10:30:00",NA,"4","E","WLU - M","BRO - M","9","4","BRO - M","0"
"172","2024","USports Championships",245,"15295","2024-03-13 10:30:00",NA,"4","F","SAIT - M","NAIT - M","3","9","SAIT - M","0"
"173","2024","USports Championships",245,"15336","2024-03-13 10:30:00",NA,"4","G","ALB - M","GUE - M","6","4","GUE - M","0"
"174","2024","USports Championships",245,"15305","2024-03-13 10:30:00",NA,"4","H","CON - M","HUM - M","4","8","CON - M","0"
"175","2024","USports Championships",245,"15374","2024-03-12 19:00:00",NA,"2","A","HUM - M","RED - M","9","8","RED - M","0"
"176","2024","USports Championships",245,"15296","2024-03-12 19:00:00",NA,"2","B","REG - M","WLU - M","4","7","WLU - M","0"
"177","2024","USports Championships",245,"15356","2024-03-12 19:00:00",NA,"2","C","SAU - M","SAIT - M","7","10","SAIT - M","0"
"178","2024","USports Championships",245,"15340","2024-03-12 19:00:00",NA,"2","D","GUE - M","SMU - M","7","5","SMU - M","0"
"179","2024","USports Championships",245,"15267","2024-03-12 19:00:00",NA,"2","E","MOH - M","NAIT - M","13","5","NAIT - M","0"
"180","2024","USports Championships",245,"15306","2024-03-12 19:00:00",NA,"2","F","CON - M","ACC - M","11","2","ACC - M","0"
"181","2024","USports Championships",245,"15363","2024-03-12 19:00:00",NA,"2","G","BRO - M","UNB - M","2","9","UNB - M","0"
"182","2024","USports Championships",245,"15260","2024-03-12 19:00:00",NA,"2","H","DAL - M","ALB - M","9","8","DAL - M","1"
"183","2024","Brier",244,"15127","2024-03-10 19:00:00",NA,"Final","C","SK (McEwen)","CA (Gushue)","5","9","CA (Gushue)","0"
"184","2024","Brier",244,"15124","2024-03-10 13:00:00",NA,"Semifinal","C","SK (McEwen)","AB-B (Bottcher)","7","3","SK (McEwen)","0"
"185","2024","Brier",244,"15125","2024-03-09 20:00:00",NA,"Page 1 vs 2","C","CA (Gushue)","AB-B (Bottcher)","7","3","CA (Gushue)","0"
"186","2024","Brier",244,"15126","2024-03-09 14:00:00",NA,"Page 3 vs 4","C","SK (McEwen)","MB-D (Dunstone)","6","5","SK (McEwen)","0"
