"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"30885","Hamish WALKER","New Zealand","2.2500","3.522","8",115,"FRONT"
"30886","Brett SARGON","New Zealand","4.0000","3.5288","4",115,"FRONT"
"30887","OH Eun-Su","Korea","3.5000","3.5302","4",115,"FRONT"
"30888","Hugh MILLIKIN","Australia","2.6667","3.5287","3",115,"FRONT"
"30889","ZOU Qiang","China","3.5000","3.5866","2",115,"FRONT"
"30890","SEONG Se-Hyeon","Korea","4.0000","3.6011","2",115,"FRONT"
"30891","KIM Min-Chan","Korea","4.0000","3.5233","2",115,"FRONT"
"30892","KIM Chang-Min","Korea","2.5000","2.7244","6",115,"HIT-ROLL"
"30893","SEONG Se-Hyeon","Korea","3.6667","3.0474","6",115,"HIT-ROLL"
"30894","ZOU Dejia","China","1.7500","2.9808","4",115,"HIT-ROLL"
"30895","Tetsuro SHIMIZU","Japan","3.2500","3.0473","4",115,"HIT-ROLL"
"30896","ZOU Qiang","China","2.6667","3.067","3",115,"HIT-ROLL"
"30897","KIM Min-Chan","Korea","2.3333","2.9641","3",115,"HIT-ROLL"
"30898","Ian PALANGIO","Australia","2.0000","2.8329","2",115,"HIT-ROLL"
"30899","SHAO Zhilin","China","3.5000","2.8869","2",115,"HIT-ROLL"
"30900","Warren DOBSON","New Zealand","2.0000","3.0555","1",115,"HIT-ROLL"
"30901","OH Eun-Su","Korea","3.0000","2.8321","1",115,"HIT-ROLL"
"30902","Yusuke MOROZUMI","Japan","3.0000","2.9102","1",115,"HIT-ROLL"
"30903","Tsuyoshi YAMAGUCHI","Japan","4.0000","3.1063","1",115,"HIT-ROLL"
"30904","XU Jingtao","China","4.0000","2.788","1",115,"HIT-ROLL"
"30905","ZOU Qiang","China","3.8889","3.4239","9",115,"GUARD"
"30906","XU Jingtao","China","3.2500","3.338","8",115,"GUARD"
"30907","Tetsuro SHIMIZU","Japan","3.7500","3.393","8",115,"GUARD"
"30908","OH Eun-Su","Korea","3.6667","3.299","6",115,"GUARD"
"30909","SHAO Zhilin","China","2.6000","3.1961","5",115,"GUARD"
"30910","ZOU Dejia","China","2.5000","3.3306","4",115,"GUARD"
"30911","Yusuke MOROZUMI","Japan","2.2500","3.2822","4",115,"GUARD"
"30912","Kosuke MOROZUMI","Japan","1.6667","3.1712","3",115,"GUARD"
"30913","KIM Min-Chan","Korea","2.0000","3.3416","2",115,"GUARD"
"30914","Tsuyoshi YAMAGUCHI","Japan","4.0000","3.4246","2",115,"GUARD"
"30915","KIM Chang-Min","Korea","3.5000","3.3241","2",115,"GUARD"
"30916","SEONG Se-Hyeon","Korea","4.0000","3.3527","2",115,"GUARD"
"30917","Ian PALANGIO","Australia","4.0000","3.2782","2",115,"GUARD"
"30918","Dean HEWITT","Australia","3.5000","3.1958","2",115,"GUARD"
"30919","Brett SARGON","New Zealand","2.0000","3.2747","2",115,"GUARD"
"30920","Warren DOBSON","New Zealand","1.0000","3.2748","1",115,"GUARD"
"30921","Anton HOOD","New Zealand","0.0000","3.0645","1",115,"GUARD"
